Metric,Training,Validation,Test
Loss,0.0473,0.1051,0.1225
Accuracy,99.8%,98.0%,96.3%
Precision,99.8%,98.0%,96.4%
Recall,99.8%,98.0%,96.3%
F1-Score,99.8%,98.0%,96.3%
Total Inference Time (s),N/A,0.0123,0.0507
Avg Batch Time (s),N/A,0.0123,0.0253
Min Batch Time (s),N/A,0.0123,0.0247
Max Batch Time (s),N/A,0.0123,0.0260
Samples/Second,N/A,19838.31,19725.65
