Metric,Training,Validation,Test
Loss,0.2113,0.2171,0.2380
Accuracy,93.0%,92.8%,92.2%
Precision,93.0%,92.9%,92.2%
Recall,93.0%,92.8%,92.2%
F1-Score,93.0%,92.8%,92.1%
Total Inference Time (s),N/A,0.0344,0.0222
Avg Batch Time (s),N/A,0.0014,0.0015
Min Batch Time (s),N/A,0.0011,0.0013
Max Batch Time (s),N/A,0.0022,0.0022
Samples/Second,N/A,348784.17,342039.47
