Metric,Training,Validation,Test
Loss,0.1990,0.2221,0.2365
Accuracy,93.4%,92.5%,92.1%
Precision,93.4%,92.6%,92.1%
Recall,93.4%,92.5%,92.1%
F1-Score,93.4%,92.5%,92.1%
Total Inference Time (s),N/A,0.0398,0.0253
Avg Batch Time (s),N/A,0.0017,0.0017
Min Batch Time (s),N/A,0.0014,0.0014
Max Batch Time (s),N/A,0.0026,0.0025
Samples/Second,N/A,301293.30,300089.53
