Metric,BiLSTM,CNN,Transformer
Accuracy,92.3%,92.2%,92.1%
Precision,92.3%,92.2%,92.1%
Recall,92.3%,92.2%,92.1%
F1-Score,92.3%,92.1%,92.1%
Test Loss,0.2259,0.2380,0.2365
Samples/Second,171914,342039,300090
